epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.859,1.65454,2.42331,1.2014,0.66013,0.75703,0.69134,0.39131,1.54163,1.04792,1.19964,0.000475513,0.000475513,0.000475513
2,395.125,1.53546,1.18865,1.15093,0.73709,0.78029,0.80338,0.48876,1.526,0.98541,1.18048,0.000933,0.000933,0.000933
3,549.397,1.51242,1.01888,1.1483,0.72183,0.6707,0.70885,0.43569,1.5516,0.99262,1.18657,0.00137162,0.00137162,0.00137162
4,702.643,1.46334,0.94157,1.13241,0.70489,0.76759,0.75924,0.46061,1.48506,1.03035,1.17181,0.00134412,0.00134412,0.00134412
5,857.052,1.3929,0.86495,1.09699,0.83257,0.84207,0.88159,0.56539,1.41507,0.75131,1.12524,0.00131582,0.00131582,0.00131582
6,1012.28,1.34699,0.82469,1.07821,0.87224,0.88547,0.91986,0.61824,1.34186,0.69778,1.07788,0.00128753,0.00128753,0.00128753
7,1167.6,1.31229,0.78538,1.05586,0.89187,0.85968,0.92796,0.65263,1.30091,0.66503,1.0594,0.00125923,0.00125923,0.00125923
8,1322.13,1.24653,0.74699,1.03723,0.9032,0.859,0.94059,0.67552,1.23175,0.63144,1.03739,0.00123094,0.00123094,0.00123094
9,1475.72,1.21273,0.71757,1.02196,0.90265,0.872,0.94991,0.6805,1.21015,0.62598,1.02937,0.00120265,0.00120265,0.00120265
10,1630.34,1.17099,0.69326,1.00724,0.88095,0.91134,0.93997,0.70106,1.13112,0.6157,0.99581,0.00117435,0.00117435,0.00117435
11,1784.61,1.1288,0.68005,0.99119,0.90828,0.93528,0.95804,0.73027,1.08819,0.56358,0.97565,0.00114606,0.00114606,0.00114606
12,1938.71,1.09416,0.65246,0.9809,0.95768,0.91672,0.96215,0.72795,1.06813,0.54079,0.96806,0.00111776,0.00111776,0.00111776
13,2092.78,1.06862,0.6304,0.97056,0.89812,0.92263,0.95658,0.74415,1.01611,0.53201,0.94733,0.00108947,0.00108947,0.00108947
14,2247.67,1.035,0.60512,0.96435,0.93046,0.91545,0.95022,0.75562,0.9834,0.52348,0.93315,0.00106118,0.00106118,0.00106118
15,2403.6,1.00182,0.58646,0.95224,0.93297,0.92302,0.96623,0.77362,0.93726,0.49574,0.91745,0.00103288,0.00103288,0.00103288
16,2559.28,0.97124,0.57494,0.9438,0.89605,0.90149,0.9382,0.74834,0.93555,0.52096,0.91102,0.00100459,0.00100459,0.00100459
17,2713.47,0.95167,0.57183,0.93681,0.92692,0.95262,0.96939,0.7805,0.89058,0.47393,0.89895,0.000976293,0.000976293,0.000976293
18,2867.42,0.92464,0.54854,0.9294,0.94147,0.93727,0.95938,0.77725,0.87595,0.47174,0.89525,0.000947999,0.000947999,0.000947999
19,3022.51,0.90675,0.53382,0.92073,0.94036,0.93939,0.96759,0.79742,0.82425,0.44665,0.88027,0.000919704,0.000919704,0.000919704
20,3178.28,0.87816,0.52327,0.91686,0.92577,0.94841,0.9679,0.79696,0.84127,0.45632,0.87891,0.00089141,0.00089141,0.00089141
21,3332.38,0.86793,0.51684,0.90769,0.95022,0.95296,0.97142,0.81895,0.77969,0.42752,0.86121,0.000863116,0.000863116,0.000863116
22,3482.73,0.84748,0.49954,0.90647,0.94668,0.94896,0.97172,0.82868,0.74473,0.41642,0.85594,0.000834822,0.000834822,0.000834822
23,3633.98,0.8243,0.48826,0.89889,0.96112,0.94486,0.97319,0.82646,0.73709,0.4025,0.84815,0.000806528,0.000806528,0.000806528
24,3785.68,0.80184,0.47809,0.89384,0.95818,0.94953,0.97312,0.83935,0.72535,0.41052,0.84894,0.000778233,0.000778233,0.000778233
25,3942.91,0.79212,0.47598,0.8905,0.9466,0.95283,0.97145,0.83311,0.70566,0.40276,0.84792,0.000749939,0.000749939,0.000749939
26,4089.87,0.7736,0.45944,0.88829,0.96803,0.95917,0.98524,0.85983,0.67308,0.36488,0.83498,0.000721645,0.000721645,0.000721645
27,4243.86,0.76057,0.44962,0.88131,0.93716,0.96552,0.98066,0.85263,0.66626,0.37841,0.83597,0.000693351,0.000693351,0.000693351
28,4396.78,0.74939,0.44059,0.87911,0.96544,0.96614,0.97832,0.85719,0.64253,0.3573,0.82615,0.000665057,0.000665057,0.000665057
29,4548.87,0.73132,0.4323,0.87519,0.96043,0.94749,0.97354,0.85448,0.62756,0.36142,0.82864,0.000636762,0.000636762,0.000636762
30,4700.8,0.71846,0.42533,0.87428,0.96051,0.96876,0.98085,0.85906,0.62772,0.35439,0.82597,0.000608468,0.000608468,0.000608468
31,4852.23,0.70251,0.41613,0.86894,0.96333,0.96617,0.98124,0.8648,0.63135,0.35211,0.82621,0.000580174,0.000580174,0.000580174
32,5004.02,0.69581,0.41344,0.86554,0.97615,0.96422,0.98157,0.87062,0.60004,0.33445,0.81851,0.00055188,0.00055188,0.00055188
33,5155.13,0.68392,0.40614,0.86514,0.96474,0.97118,0.98437,0.8754,0.59779,0.33905,0.81764,0.000523586,0.000523586,0.000523586
34,5305.73,0.67239,0.39641,0.86146,0.96316,0.97571,0.9848,0.87663,0.59001,0.3284,0.81843,0.000495291,0.000495291,0.000495291
35,5466.6,0.66835,0.3972,0.86064,0.96144,0.97572,0.98205,0.8849,0.56653,0.32799,0.81345,0.000466997,0.000466997,0.000466997
36,5617.95,0.64704,0.38453,0.85548,0.97002,0.95584,0.98218,0.8868,0.55602,0.32392,0.8077,0.000438703,0.000438703,0.000438703
37,5769.51,0.6327,0.37501,0.85101,0.96976,0.96218,0.98108,0.88373,0.55428,0.33094,0.81014,0.000410409,0.000410409,0.000410409
38,5921.13,0.62457,0.3694,0.85083,0.97494,0.95355,0.98218,0.88787,0.55118,0.32102,0.80919,0.000382115,0.000382115,0.000382115
39,6072.18,0.61202,0.36471,0.84739,0.9776,0.96472,0.98442,0.89243,0.54135,0.30729,0.80609,0.00035382,0.00035382,0.00035382
40,6222.73,0.60434,0.35707,0.84688,0.97564,0.95208,0.97764,0.88982,0.54287,0.32202,0.80585,0.000325526,0.000325526,0.000325526
41,6408.78,0.53812,0.30968,0.82662,0.97151,0.98188,0.98424,0.89952,0.53094,0.30818,0.80324,0.000297232,0.000297232,0.000297232
42,6558.05,0.51521,0.3003,0.82137,0.96957,0.98307,0.98507,0.90769,0.51113,0.29294,0.79944,0.000268938,0.000268938,0.000268938
43,6707.19,0.50475,0.29353,0.8185,0.96933,0.9814,0.98217,0.90899,0.50802,0.29212,0.79969,0.000240644,0.000240644,0.000240644
44,6856.19,0.4956,0.28725,0.81752,0.97367,0.97895,0.98533,0.91564,0.50106,0.28725,0.79753,0.000212349,0.000212349,0.000212349
45,7005.18,0.47647,0.27876,0.81319,0.963,0.98188,0.98544,0.91394,0.49286,0.29083,0.79271,0.000184055,0.000184055,0.000184055
46,7154.23,0.46376,0.27248,0.8093,0.96806,0.9676,0.98574,0.9175,0.48774,0.28939,0.79282,0.000155761,0.000155761,0.000155761
47,7303.21,0.45463,0.26813,0.80563,0.97334,0.96561,0.98449,0.91388,0.48257,0.28584,0.79248,0.000127467,0.000127467,0.000127467
